"ref_code","ref_source","ref_language","pub_year","ref_info","ref_info_orig","ref_doi","ref_journal_orig","study_id"
"Kindree_2022","GS","english",2022,"Kindree, M.M., 2022. Elucidating the Interactive Effects of Climate Change and Invasive Species Using a Lotic Fish Species Pair (Doctoral dissertation, University of Toronto (Canada)).",,,,"s_196"
"Uno_&_Stillman_2020","GS","english",2020,"Uno, H. and Stillman, J.H., 2020. Lifetime eurythermy by seasonally matched thermal performance of developmental stages in an annual aquatic insect. Oecologia, 192, pp.647-656.",,"10.1007/s00442-020-04605-z","Oecologia","s_377"
"Verberk_et_al_2018","Leiva_et_al_2019","english",2018,"Verberk, W.C., Calosi, P., Spicer, J.I., Kehl, S. and Bilton, D.T., 2018. Does plasticity in thermal tolerance trade off with inherent tolerance? The influence of setal tracheal gills on thermal tolerance and its plasticity in a group of European diving beetles. Journal of insect physiology, 106, pp.163-171.",,"10.1016/j.jinsphys.2017.12.005","Journal of insect physiology","s_384"
"Sweeney_et_al_2018","GS","english",2018,"Sweeney, B.W., Funk, D.H., Camp, A.A., Buchwalter, D.B. and Jackson, J.K., 2018. Why adult mayflies of Cloeon dipterum (Ephemeroptera: Baetidae) become smaller as temperature warms. Freshwater Science, 37(1), pp.64-81.",,"10.1086/696611","Freshwater Science","s_362"
"Whitney_1939","GS","english",1939,"Whitney, R.J., 1939. The thermal resistance of mayfly nymphs from ponds and streams. Journal of experimental biology, 16(3), pp.374-385.",,"10.1242/jeb.16.3.374","Journal of experimental biology","s_407"
"Funk_et_al_2021","GS","english",2021,"Funk, D.H., Sweeney, B.W. and Jackson, J.K., 2021. Oxygen limitation fails to explain upper chronic thermal limits and the temperature size rule in mayflies. Journal of Experimental Biology, 224(1), p.jeb233338.",,"10.1242/jeb.233338","Journal of Experimental Biology","s_139"
"Wang_2023","GS","english",2023,"Wang, W., Gao, L., Liu, W., Tian, Z., Wang, X. and Hu, H., 2023. Regulation of antioxidant defense in response to heat stress in Siberian sturgeon (Acipenser baerii). Aquaculture, 572, p.739551.",,"10.1016/j.aquaculture.2023.739551","Aquaculture","s_398"
"Barrionuevo_&_Fernandes_1995","Cereja_2020","english",1995,"Barrionuevo, W.R. and Fernandes, M.N., 1995. Critical thermal maxima and minima for curimbatá, Prochilodus scrofa Steindachner, of two different sizes. Aquaculture Research, 26(6), pp.447-450.",,"10.1111/j.1365-2109.1995.tb00934.x","Aquaculture Research","s_27"
"Pan_&_Yang_1999","CNKI","chinese",1999,"Pan Q. and Yang G. 1999. Study on the thermal tolerence of streaked prochilod. Scientific Fish Farming, 4: 20.","潘茜, 杨国梁. 1995. 小口脂鲤临界温度试验. 科学养鱼, 4: 20.",,"科学养鱼","s_288"
"Schubauer_1980","Cereja_2020","english",1980,"Schubauer, J.P., Scott, C.L., Kowalski, K.T. and Spotila, J.R., 1980. Effect of tetracycline hydrochloride treatment on the critical thermal maximum of common shiners. The Progressive Fish-Culturist, 42(1), pp.48-49.",,"10.1577/1548-8659(1980)42[48:EOTHTO]2.0.CO;2","The Progressive Fish-Culturist","s_335"
"Gil_Bohórquez_2016","GS","spanish",2016,,"Gil Bohórquez, B.S., Estimación del máximo crítico térmico para la palometa gasteropelecus maculatus (Characiformes: Gasteropelecidae). Una aproximación a su respuesta frente al cambio climático.",,"Thesis","s_144"
"Turko_et_al_2020","GS","english",2020,"Turko, A.J., Nolan, C.B., Balshine, S., Scott, G.R. and Pitcher, T.E., 2020. Thermal tolerance depends on season, age and body condition in imperilled redside dace Clinostomus elongatus. Conservation Physiology, 8(1), p.coaa062.",,"10.1093/conphys/coaa062","Conservation Physiology","s_375"
"Leclair_et_al_2020","GS","english",2020,"Leclair, A.T., Drake, D.A.R., Pratt, T.C. and Mandrak, N.E., 2020. Seasonal variation in thermal tolerance of redside dace Clinostomus elongatus. Conservation Physiology, 8(1), p.coaa081.","Leclair, A.T., Drake, D.A.R., Pratt, T.C. and Mandrak, N.E., 2020. Seasonal variation in thermal tolerance of redside dace Clinostomus elongatus. Conservation Physiology, 8(1), p.coaa081.","10.1093/conphys/coaa081","Conservation Physiology","s_214"
"Sokolovska_2014","GS","english",2014,"Sokolovska, I., 2014. Are experimentally derived estimates of thermal tolerance useful in interpreting species distribution models?. Utah State University.",,,,"s_348"
"Chen_et_al_2011","CNKI","chinese",2011,"Chen S., Wang Z., Song Y., Jiao F. 2011. A preliminary study on thermal tolerance to Triplophysa (hedinichthys) yarkandensis (Day) in Tarim River. Journal of Gansu Agricultural University, 46(5): 22-26","陈生熬, 王智超, 宋勇, 焦飞. 塔里木河流域叶尔羌高原鳅热耐受性的初步研究[J].甘肃农业大学学报,2011,46(05):22-26.","10.13432/j.cnki.jgsau.2011.05.008.","甘肃农业大学学报","s_63"
"Tladi_et_al_2021","GS","english",2021,"Tladi, M., Wasserman, R.J., Cuthbert, R.N., Dalu, T. and Nyamukondiwa, C., 2021. Thermal limits and preferences of large branchiopods (Branchiopoda: Anostraca and Spinicaudata) from temporary wetland arid zone systems. Journal of Thermal Biology, 99, p.102997.","Tladi, M., Wasserman, R.J., Cuthbert, R.N., Dalu, T. and Nyamukondiwa, C., 2021. Thermal limits and preferences of large branchiopods (Branchiopoda: Anostraca and Spinicaudata) from temporary wetland arid zone systems. Journal of Thermal Biology, 99, p.102997.","10.1016/j.jtherbio.2021.102997","Journal of Thermal Biology","s_369"
"Hoff_&_Westman_1966","GlobTherm_2018","english",1966,"Hoff, J.G. and Westman, J.R., 1966. The temperature tolerances of three species of marine fishes. Journal of Marine Research, 24(2), pp.131-140. ",,,"Journal of Marine Research","s_174"
"Ginn_et_al_1974","GS","english",1974,"Ginn, T.C., Waller, W.T. and Lauer, G.J., 1974. The effects of power plant condenser cooling water entrainment on the amphipod. Gammarus sp. Water Research, 8(11), pp.937-945.",,"10.1016/0043-1354(74)90108-0","Water Research","s_146"
"Barbier_&_Champ_1974","GS","french",1974,"Barbier, B. and Champ, P., 1974. Resistance of gammarids from the Seine to increases in temperature. French bulletin of pisciculture, (255), pp.67-71.","Barbier, B. and Champ, P., 1974. Résistance des gammares de la Seine aux élévations de température. Bulletin Français de Pisciculture, (255), pp.67-71.","http://dx.doi.org/10.1051/kmae:1974004","Bulletin Français de Pisciculture","s_20"
"Verhille_et_al_2016","Leiva_et_al_2019","english",2016," Verhille CE, Lee S, Todgham AE, Cocherell DE, Hung SS, Fangue NA. 2016 Effects of nutritional deprivation on juvenile green sturgeon growth and thermal tolerance. Environ. Biol. Fishes 99, 145–159.",,,,"s_385"
"Nash_et_al_2022","GS","english",2022,"Nash, N., Klymasz-Swartz, A.K., Nash, M.T., Sachs, M., Yoon, G.R. and Weihrauch, D., 2022. Impact of heatwaves and environmental ammonia on energy metabolism, nitrogen excretion, and mRNA expression of related genes in the indicator model system Daphnia magna. Aquatic Toxicology, 249, p.106225.",,"10.1016/j.aquatox.2022.106225","Aquatic Toxicology","s_265"
"Delnat_et_al_2022","GS","english",2022,"Delnat, V., Verheyen, J., Van Hileghem, I. and Stoks, R., 2022. Genetic variation of the interaction type between two stressors in a single population: From antagonism to synergism when combining a heat spike and a pesticide. Environmental Pollution, 308, p.119654.",,"10.1016/j.envpol.2022.119654","Environmental Pollution","s_105"
"Geerts_et_al_2015","Leiva_et_al_2019","english",2015,"Geerts, A.N., Vanoverbeke, J., Vanschoenwinkel, B., Van Doorslaer, W., Feuchtmayr, H., Atkinson, D., Moss, B., Davidson, T.A., Sayer, C.D. and De Meester, L., 2015. Rapid evolution of thermal tolerance in the water flea Daphnia. Nature Climate Change, 5(7), pp.665-668.",,"10.1038/nclimate2628","Nature Climate Change","s_143"
"Delnat_et_al_2019","GS","english",2019,"Delnat, V., Tran, T.T., Verheyen, J., Van Dinh, K., Janssens, L. and Stoks, R., 2019. Temperature variation magnifies chlorpyrifos toxicity differently between larval and adult mosquitoes. Science of the total environment, 690, pp.1237-1244.",,"10.1016/j.scitotenv.2019.07.030","Science of The Total Environment","s_104"
"Williams_2016","GS","english",2016,"Williams, G.M.D., 2016. Impact of drought on stream ecosystem structure and functioning (Doctoral dissertation, University of Birmingham).",,,,"s_409"
"Nebeker_&_Lemke_1968","ref","english",1968,"Nebeker, A.V. and Lemke, A.E., 1968. Preliminary studies on the tolerance of aquatic insects to heated waters. Journal of the Kansas entomological society, pp.413-418.",,,"Journal of the Kansas entomological society","s_266"
"Nyboer_et_al_2020","GS","english",2020,"Nyboer, E.A., Chretien, E. and Chapman, L.J., 2020. Divergence in aerobic scope and thermal tolerance is related to local thermal regime in two populations of introduced Nile perch (Lates niloticus). Journal of Fish Biology, 97(1), pp.231-245.",,"abs/10.1111/jfb.14355","Journal of Fish Biology","s_270"
"de_Souza_et_al_2023","GS","english",2023,"de Souza, J.S., Vinagre, C. and Dos Santos, L.N., 2023. Thermal plasticity over a marine-estuarine ecocline can buffer a tropical fish from warming. Marine Environmental Research, 188, p.105998.",,"10.1016/j.marenvres.2023.105998","Marine Environmental Research","s_434"
"Billman_et_al_2008","Leiva_et_al_2019","english",2008,"Billman, E.J., Wagner, E.J., Arndt, R.E. and VanDyke, E., 2008. Optimal temperatures for growth and upper thermal tolerance of juvenile northern leatherside chub. Western North American Naturalist, 68(4), pp.463-474.",,"10.3398/1527-0904-68.4.463","Western North American Naturalist","s_38"
"Reid_and_ Ricciardi_ 2022","GS","english",2022,"Reid, H.B. and Ricciardi, A., 2022. Ecological responses to elevated water temperatures across invasive populations of the round goby (Neogobius melanostomus) in the Great Lakes basin. Canadian Journal of Fisheries and Aquatic Sciences, 79(2), pp.277-288.",,"10.1139/cjfas-2021-0141","Canadian Journal of Fisheries and Aquatic Sciences","s_312"
"Cross_&_Rawding_2009","Leiva_et_al_2019","english",2009,"Cross, E.E. and Rawding, R.S., 2009. Acute thermal tolerance in the round goby, Apollonia melanostoma (Neogobius melanostomus). Journal of Thermal Biology, 34(2), pp.85-92.",,"10.1016/j.jtherbio.2008.10.006","Journal of Thermal Biology","s_84"
"Christensen_et_al_2021","GS","english",2021,"Christensen, E.A., Norin, T., Tabak, I., van Deurs, M. and Behrens, J.W., 2021. Effects of temperature on physiological performance and behavioral thermoregulation in an invasive fish, the round goby. Journal of Experimental Biology, 224(1), p.jeb237669.",,"10.1242/jeb.237669","Journal of Experimental Biology","s_69"
"Paladino_&_Spotila_1978","Cereja_2020","english",1978,"Paladino, F.V. and Spotila, J.R., 1978. The effect of arsenic on the thermal tolerance of newly hatched muskellunge fry (Esox masquinongy). Journal of Thermal Biology, 3(4), pp.223-227.",,"10.1016/0306-4565(78)90024-4","Journal of Thermal Biology","s_286"
"Otto_&_O’Hara_Rice_1977","GlobTherm_2018","english",1977,"Otto, R.G. and Rice, J.O.H., 1977. Responses of a freshwater sculpin (Cottus cognatus gracilis) to temperature. Transactions of the American Fisheries Society, 106(1), pp.89-94.",,"10.1577/1548-8659(1977)106<89:ROAFSC>2.0.CO;2","Transactions of the American Fisheries Society","s_279"
"Otto_et_al_1976","GlobTherm_2018","english",1976,"Otto, R.G., Kitchel, M.A. and Rice, J.O., 1976. Lethal and preferred temperatures of the alewife (Alosa pseudoharengus) in Lake Michigan. Transactions of the American Fisheries Society, 105(1), pp.96-106.",,"10.1577/1548-8659(1976)105<96:LAPTOT>2.0.CO;2","Transactions of the American Fisheries Society","s_282"
"Heiman_&_Knight_1972","GS","english",1972,"Heiman, D.R. and Knight, A.W., 1972. Upper-lethal-temperature relations of the nymphs of the stonefly, Paragnetina media. Hydrobiologia, 39, pp.479-493.",,"10.1007/BF00046741","Hydrobiologia","s_162"
"O'Leary_et_al_2014","GS","english",2014,"O'Leary, B.C., Houghton, D.C. and Van Zant, J., 2014. Differences in thermal tolerance between two thermally isolated and genetically indistinct populations of Paragnetina Media (Walker)(Plecoptera: Perlodidae). The Great Lakes Entomologist, 47(3 & 4), p.1.",,"10.22543/0090-0222.2300","The Great Lakes Entomologist","s_272"
"Bayse_et_al_2020","GS","english",2020,"Bayse, S.M., Shaughnessy, C.A., Regish, A.M. and McCormick, S.D., 2020. Upper Thermal Tolerance and Heat Shock Protein Response of Juvenile American Shad (Alosa sapidissima). Estuaries and Coasts, 43, pp.182-188.",,"10.1007/s12237-019-00642-x","Estuaries and Coasts","s_29"
"Firth_et_al_2021","GS","english",2021,"Firth, B.L., Drake, D.A.R. and Power, M., 2021. Seasonal and environmental effects on upper thermal limits of eastern sand darter (Ammocrypta pellucida). Conservation Physiology, 9(1), p.coab057.",,"10.1093/conphys/coab057","Conservation Physiology","s_132"
"Pott_et_al_2021","GS","english",2021,"Potts, L.B., Mandrak, N.E. and Chapman, L.J., 2021. Coping with climate change: phenotypic plasticity in an imperilled freshwater fish in response to elevated water temperature. Aquatic Conservation: Marine and Freshwater Ecosystems, 31(10), pp.2726-2736.","Potts, L.B., Mandrak, N.E. and Chapman, L.J., 2021. Coping with climate change: phenotypic plasticity in an imperilled freshwater fish in response to elevated water temperature. Aquatic Conservation: Marine and Freshwater Ecosystems, 31(10), pp.2726-2736.","10.1002/aqc.3620","Aquatic Conservation: Marine and Freshwater Ecosystems","s_303"
"Cottin_et_al_2012","GS","english",2012,"Cottin, D., Roussel, D., Foucreau, N., Hervant, F. and Piscart, C., 2012. Disentangling the effects of local and regional factors on the thermal tolerance of freshwater crustaceans. Naturwissenschaften, 99, pp.259-264.",,"10.1007/s00114-012-0894-4","Naturwissenschaften","s_82"
"Maazouzi_et_al_2011","GS","english",2011,"Maazouzi, C., Piscart, C., Legier, F. and Hervant, F., 2011. Ecophysiological responses to temperature of the “killer shrimp” Dikerogammarus villosus: is the invader really stronger than the native Gammarus pulex?. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 159(3), pp.268-274.",,"10.1016/j.cbpa.2011.03.019Get rights and content","Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology","s_227"
"Wijnhoven_et_al_2003","Leiva_et_al_2019","english",2003,"Wijnhoven, S., Van Riel, M.C. and van der Velde, G., 2003. Exotic and indigenous freshwater gammarid species: physiological tolerance to water temperature in relation to ionic content of the water. Aquatic ecology, 37, pp.151-158.",,"10.1023/A:1023982200529","Aquatic ecology","s_408"
"Verberk_et_al_2018a","Leiva_et_al_2019","english",2018,"Verberk, W.C., Leuven, R.S., van der Velde, G. and Gabel, F., 2018. Thermal limits in native and alien freshwater peracarid Crustacea: the role of habitat use and oxygen limitation. Functional ecology, 32(4), pp.926-936.",,"10.1111/1365-2435.13050","Functional ecology","s_439"
"Stillman_2004","GlobTherm_2018","english",2004,"Stillman, J.H., 2004, December. A comparative analysis of plasticity of thermal limits in porcelain crabs across latitudinal and intertidal zone clines. In International Congress Series (Vol. 1275, pp. 267-274). Elsevier.",,"10.1016/j.ics.2004.09.034","International Congress Series","s_357"
"Vinagre_et_al_2014","Cereja_2020","english",2014,"Vinagre, C., Leal, I., Mendonça, V. and Flores, A.A., 2015. Effect of warming rate on the critical thermal maxima of crabs, shrimp and fish. Journal of thermal biology, 47, pp.19-25.",,"10.1016/j.jtherbio.2014.10.012","Journal of thermal biology","s_387"
"Vinagre_et_al_2015","GlobTherm_2018","english",2015,"Vinagre, C., Leal, I., Mendonça, V. and Flores, A.A., 2015. Effect of warming rate on the critical thermal maxima of crabs, shrimp and fish. Journal of thermal biology, 47, pp.19-25.",,"10.1016/j.jtherbio.2014.10.012","Journal of thermal biology","s_388"
"Sutherby_2019","GS","english",2019,"Sutherby, J., 2019. The effect of temperature on sea lamprey (Petromyzon marinus): ecological and cellular implications (Master's thesis).","Sutherby, J., 2019. The effect of temperature on sea lamprey (Petromyzon marinus): ecological and cellular implications (Master's thesis).",,,"s_360"
"Hotaling_&_Shah_et_al_2020","GS","english",2020,"Hotaling, S., Shah, A.A., McGowan, K.L., Tronstad, L.M., Giersch, J.J., Finn, D.S., Woods, H.A., Dillon, M.E. and Kelley, J.L., 2020. Mountain stoneflies may tolerate warming streams: Evidence from organismal physiology and gene expression. Global Change Biology, 26(10), pp.5524-5538.",,"10.1111/gcb.15294","Global Change Biology","s_176"
"Shoup_&_Houghton_2013","Leiva_et_al_2019","english",2013,"Shoup, L. and Houghton, D.C., 2013. The effect of acclimation temperature on the critical thermal maximum of a cold-water population of Pteronarcys dorsata (Say)(Plecoptera: Pteronarcyidae). The Great Lakes Entomologist, 46(3 & 4), p.3.",,"10.22543/0090-0222.2274","The Great Lakes Entomologist","s_341"
"Houghton_et_al_2014","GS","english",2014,"Houghton, D.C., Logan, A.C. and Pytel, A.J., 2014. Validation of CTmax protocols using cased and uncased Pycnopsyche guttifer (Trichoptera: Limnephilidae) larvae. The Great Lakes Entomologist, 47(1 & 2), p.1.",,"10.22543/0090-0222.2283","The Great Lakes Entomologist","s_178"
"Houghton_&_Shoup_2014","GS","english",2014,"Houghton, D.C. and Shoup, L., 2014. Seasonal changes in the critical thermal maxima of four species of aquatic insects (Ephemeroptera, Trichoptera). Environmental entomology, 43(4), pp.1059-1066.",,"10.1603/EN13344","Environmental entomology","s_177"
"Stewart_2022","GS","english",2022,"Stewart, T.R., 2022. Changing environmental conditions and the response and potential adaptability of freshwater whitefishes. The University of Vermont and State Agricultural College.","Stewart, T.R., 2022. Changing environmental conditions and the response and potential adaptability of freshwater whitefishes. The University of Vermont and State Agricultural College.",,,"s_353"
"Stewart_et_al_2022","GS","english",2022,"Stewart, T.R., Vinson, M.R. and Stockwell, J.D., 2022. Effects of warming winter embryo incubation temperatures on larval cisco (Coregonus artedi) survival, growth, and critical thermal maximum. Journal of Great Lakes Research, 48(4), pp.1042-1049.","Stewart, T.R., Vinson, M.R. and Stockwell, J.D., 2022. Effects of warming winter embryo incubation temperatures on larval cisco (Coregonus artedi) survival, growth, and critical thermal maximum. Journal of Great Lakes Research, 48(4), pp.1042-1049.","10.1016/j.jglr.2022.04.013","Journal of Great Lakes Research","s_355"
"Anlauf_Dunn_et_al_2022","GS","english",2022,"Anlauf-Dunn, K., Kraskura, K. and Eliason, E.J., 2022. Intraspecific variability in thermal tolerance: a case study with coastal cutthroat trout. Conservation Physiology, 10(1), p.coac029.","Anlauf-Dunn, K., Kraskura, K. and Eliason, E.J., 2022. Intraspecific variability in thermal tolerance: a case study with coastal cutthroat trout. Conservation Physiology, 10(1), p.coac029.","10.1093/conphys/coac029","Conservation Physiology","s_11"
"Smith_1973","GS","english",1973,"Smith, W.E., 1973. Thermal tolerance of two species of Gammarus. Transactions of the American Fisheries Society, 102(2), pp.431-433.",,"10.1577/1548-8659(1973)102<431:TTOTSO>2.0.CO;2","Transactions of the American Fisheries Society","s_346"
"Barlett_et_al_2022","GS","english",2022,"Bartlett, C.B., Garber, A.F., Gonen, S. and Benfey, T.J., 2022. Acute critical thermal maximum does not predict chronic incremental thermal maximum in Atlantic salmon (Salmo salar). Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 266, p.111143.","Bartlett, C.B., Garber, A.F., Gonen, S. and Benfey, T.J., 2022. Acute critical thermal maximum does not predict chronic incremental thermal maximum in Atlantic salmon (Salmo salar). Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 266, p.111143.","10.1016/j.cbpa.2022.111143","Comparative Biochemistry and Physiology, Part A","s_25"
"Ignatz_et_al_2021","GS","english",2021,"Ignatz, E.H., Zanuzzo, F.S., Sandrelli, R.M., Clow, K.A., Rise, M.L. and Gamperl, A.K., 2021. Phenotypic stress response does not influence the upper thermal tolerance of male Atlantic salmon (Salmo salar). Journal of Thermal Biology, 101, p.103102.",,"10.1016/j.jtherbio.2021.103102","Journal of Thermal Biology","s_179"
"Elliot_1991","GlobTherm_2018","english",1991,"Elliott, J.M., 1991. Tolerance and resistance to thermal stress in juvenile Atlantic salmon, Salmo salar. Freshwater Biology, 25(1), pp.61-70.",,"10.1111/j.1365-2427.1991.tb00473.x","Freshwater Biology","s_118"
"Becker_et_al_2015","GS","german",2015,"Becker, J., Nehls, C., Koop, J., 2015. Grundlagen für klimabedingte Anpassung tierökologischer Bewertungsverfahren. Schlussbericht KLIWAS-Projekt 5.07. KLIWAS-54/2014. BfG, Koblenz.",,"10.5675/Kliwas_54/2014_5.07",,"s_31"
"Fields_et_al_1987","Cereja_2020","english",1987,"Fields, R., Lowe, S.S., Kaminski, C., Whitt, G.S. and Philipp, D.P., 1987. Critical and chronic thermal maxima of northern and Florida largemouth bass and their reciprocal F1 and F2 hybrids. Transactions of the American Fisheries Society, 116(6), pp.856-863.",,"10.1577/1548-8659(1987)116<856:CACTMO>2.0.CO;2","Transactions of the American Fisheries Society","s_131"
"Lohr_et_al_1996","Cereja_2020","english",1996,"Lohr, S.C., Byorth, P.A., Kaya, C.M. and Dwyer, W.P., 1996. High?temperature tolerances of fluvial Arctic grayling and comparisons with summer river temperatures of the Big Hole River, Montana. Transactions of the American Fisheries Society, 125(6), pp.933-939.",,"10.1577/1548-8659(1996)125<0933:HTTOFA>2.3.CO;2","Transactions of the American Fisheries Society","s_223"
"Pattee_1968","ref","french",1968,"Pattee, E., 1968. Coefficients thermiques et écologie de quelques planaires d'eau douce. 2.—Tolérance de dugesia gonocephala. In Annales de Limnologie-International Journal of Limnology (Vol. 4, No. 1, pp. 99-104). EDP Sciences.",,"10.1051/limn/1968014","Annales de Limnologie","s_292"
"Becker_&_Genoway_1979","Cereja_2020","english",1979,"Becker, C.D. and Genoway, R.G., 1979. Evaluation of the critical thermal maximum for determining thermal tolerance of freshwater fish. Environmental Biology of Fishes, 4, pp.245-256.",,"10.1007/BF00005481","Environmental Biology of Fishes","s_30"
"Lencioni_&_Bernabo","GS","english",2017,"Lencioni, V. and Bernabò, P., 2017. Thermal survival limits of young and mature larvae of a cold stenothermal chironomid from the Alps (Diamesinae: Pseudodiamesa branickii [Nowicki, 1873]). Insect science, 24(2), pp.314-324.",,"10.1111/1744-7917.12278","Insect Science","s_217"
"Ebner_et_al_2022","GS","english",2022,"Ebner, J.N., Wyss, M.K., Ritz, D. and von Fumetti, S., 2022. Effects of thermal acclimation on the proteome of the planarian Crenobia alpina from an alpine freshwater spring. Journal of Experimental Biology, 225(15), p.jeb244218.","Ebner, J.N., Wyss, M.K., Ritz, D. and von Fumetti, S., 2022. Effects of thermal acclimation on the proteome of the planarian Crenobia alpina from an alpine freshwater spring. Journal of Experimental Biology, 225(15), p.jeb244218.","10.1242/jeb.244218","Journal of Experimental Biology","s_116"
"Malison_et_al_2022","GS","english",2022,"Malison, R.L., Frakes, J.I., Andreas, A.L., Keller, P.R., Hamant, E., Shah, A.A. and Woods, H.A., 2022. Plasticity of salmonfly (Pteronarcys californica) respiratory phenotypes in response to changes in temperature and oxygen. Journal of Experimental Biology, 225(18), p.jeb244253.",,"10.1242/jeb.244253.","Journal of Experimental Biology","s_235"
"Frakes_et_al_ 2021","GS","english",2021,"Frakes, J.I., Birrell, J.H., Shah, A.A. and Woods, H.A., 2021. Flow increases tolerance of heat and hypoxia of an aquatic insect. Biology Letters, 17(5), p.20210004.","Frakes, J.I., Birrell, J.H., Shah, A.A. and Woods, H.A., 2021. Flow increases tolerance of heat and hypoxia of an aquatic insect. Biology Letters, 17(5), p.20210004.","10.1098/rsbl.2021.0004","Biology Letters","s_134"
"Nagayi _et_al_2022","GS","english",2022,"Nagayi, J.K.Y., Kisakye, J.J., Mwanja, M.T., Nattabi, J. and Opio, A., 2022. Effects of thermal acclimation and ecological background on the physiological responses of juvenile Oreochromis esculentus (Graham, 1928). Implications for the species adaptive capacity to global warming. Aquaculture Research, 53(3), pp.989-1000.",,"10.1111/are.15640","Aquaculture Research","s_262"
"Okaeme_1983","GS","english",1983,"Okaeme, A.N., 1983. On the biology of Cnephia ornithophilia and Simulium vernum (Diptera: simuliidae) in insular Newfoundland (Doctoral dissertation, Memorial University of Newfoundland).",,,,"s_273"
"Leggott_&_Pritchard_1986","GS","english",1986,"Leggott, M. and Pritchard, G., 1986. Thermal preference and activity thresholds in populations of Argia vivida (Odonata: Coenagrionidae) from habitats with different thermal regimes. Hydrobiologia, 140, pp.85-92.",,"10.1007/BF00006730","Hydrobiologia","s_216"
"Mayer_2022","GS","english",2022,"Mayer, N.E.B., 2022. Thermal tolerance of Pacific salmon (Oncorhynchus spp.): methodological and inherent variability in upper thermal tolerance limits and their use in assessing vulnerability to climate change (Doctoral dissertation, University of British Columbia).",,"0.14288/1.0417577","Doctoral thesis","s_243"
"Selong_&_McMahon_2001","Cereja_2020","english",2001,"Selong, J.H., McMahon, T.E., Zale, A.V. and Barrows, F.T., 2001. Effect of temperature on growth and survival of bull trout, with application of an improved method for determining thermal tolerance in fishes. Transactions of the American fisheries Society, 130(6), pp.1026-1037.",,"10.1577/1548-8659(2001)130<1026:EOTOGA>2.0.CO;2","Transactions of the American fisheries Society","s_337"
"Ouimette_2018","GS","english",2018,"Ouimette, S., 2018. Thermal limits across life stages do not predict contemporary geographic distributions (Doctoral dissertation, Concordia University).",,,,"s_283"
"Gilbert_&_Farrell_2021","GS","english",2021,"Gilbert, M.J. and Farrell, A.P., 2021. The thermal acclimation potential of maximum heart rate and cardiac heat tolerance in Arctic char (Salvelinus alpinus), a northern cold-water specialist. Journal of Thermal Biology, 95, p.102816.",,"10.1016/j.jtherbio.2020.102816","Journal of Thermal Biology","s_145"
"Baroudy_&_Elliot_1994","Cereja_2020","english",1994,"Baroudy, E. and Elliott, J.M., 1994. The critical thermal limits for juvenile Arctic charr Salvelinus alpinus. Journal of Fish Biology, 45(6), pp.1041-1053.",,"10.1111/j.1095-8649.1994.tb01071.x","Journal of Fish Biology","s_26"
"Treanor_et_al_2013","Leiva_et_al_2019","english",2013,"Treanor, H.B., Giersch, J.J., Kappenman, K.M., Muhlfeld, C.C. and Webb, M.A., 2013. Thermal tolerance of meltwater stonefly Lednia tumana nymphs from an alpine stream in Waterton–Glacier International Peace Park, Montana, USA. Freshwater Science, 32(2), pp.597-605.",,"10.1899/12-100.1","Freshwater Science","s_371"
"Heath_1963","GlobTherm_2018","english",1963,"Heath, W.G., 1963. Thermoperiodism in sea-run cutthroat trout (Salmo clarki clarki). Science, 142(3591), pp.486-488.",,"10.1126/science.142.3591.486","Science","s_160"
"Enders_&_Durhack_2022","GS","english",2022,"Enders, E.C. and Durhack, T.C., 2022. Metabolic rate and critical thermal maximum CTmax estimates for westslope cutthroat trout, Oncorhynchus clarkii lewisi. Conservation Physiology, 10(1), p.coac071.","Enders, E.C. and Durhack, T.C., 2022. Metabolic rate and critical thermal maximum CTmax estimates for westslope cutthroat trout, Oncorhynchus clarkii lewisi. Conservation Physiology, 10(1), p.coac071.","https://doi:10.1093/conphys/coac071","Conservation Physiology","s_121"
"Prodocimo_&_Freire_2001","Cereja_2020","english",2001,"Prodocimo, V. and Freire, C.A., 2001. Critical thermal maxima and minima of the platyfish Xiphophorus maculatus Günther (Poecillidae, Cyprinodontiformes): a tropical species of ornamental freshwater fish. Revista Brasileira de Zoologia, 18, pp.97-106.",,"10.1590/S0101-81752001000500007","Revista Brasileira de Zoologia","s_304"
"Mesher_2009","GS","english",2009,"Mesher, C.S., 2009. Physiology and ecology of three amphipod species in UK estuaries.",,,,"s_254"
"Yusishen_et_al_2020","GS","english",2020,"Yusishen, M.E., Yoon, G.R., Bugg, W., Jeffries, K.M., Currie, S. and Anderson, W.G., 2020. Love thy neighbor: Social buffering following exposure to an acute thermal stressor in a gregarious fish, the lake sturgeon (Acipenser fulvescens). Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 243, p.110686.",,"10.1016/j.cbpa.2020.110686","Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology","s_419"
